,location,title,company,salary,salrange
0,"Houston, TX",Marketing Analyst/Data Scientist,David Weekley Homes,No Salary Listed,60000
1,"Houston, TX","Data Scientist, Customer Solutions",No Company Listed,No Salary Listed,60000
2,"Houston, TX",Senior Data Scientist,Honeywell,No Salary Listed,60000
3,"Houston, TX",Data Scientist,National Oilwell Varco,No Salary Listed,60000
4,"Houston, TX",Mars Research Scientist,Jacobs,No Salary Listed,60000
5,"Houston, TX 77046 (Montrose area)",2017 Computational Sciences - Data Scientist,ExxonMobil,No Salary Listed,60000
6,"Houston, TX",United States Houston:Supply Chain Statistician,Halliburton,No Salary Listed,60000
7,"Houston, TX 77070",Associate Quantitative Analyst,NextEra Energy,No Salary Listed,60000
8,"Houston, TX",Senior Research Scientist - Pediatrics Research,MD Anderson Cancer Center,"$57,200 - $85,800 a year",60000
9,"Houston, TX 77032",Supply Chain Statistician,Halliburton,No Salary Listed,60000
10,"Houston, TX",Data Scientist at PREDICTif Solutions,Smith & Associates,No Salary Listed,60000
11,"Houston, TX",Sr. Data Scientist,Invesco,No Salary Listed,60000
12,"Houston, TX",Senior Data Scientist,Waste Management,No Salary Listed,60000
13,"Houston, TX",Research Analyst II,IHS Markit,No Salary Listed,60000
14,"Houston, TX","Senior Scientist (Houston, TX)",KBRWyle,No Salary Listed,60000
15,"Sugar Land, TX",Senior Analytical Chemist,No Company Listed,No Salary Listed,60000
16,"Houston, TX","Data Scientist, Revenue Management",SYSCO,No Salary Listed,60000
17,"Houston, TX",Lead Data Scientist,Invesco,No Salary Listed,60000
18,"Houston, TX",Dealership Optimization Consultant,CDK Global,No Salary Listed,60000
19,"Houston, TX",Statistician,UT Health Science Center at Houston,No Salary Listed,60000
20,"Houston, TX",Research Scientist - HPC Application Specialist,University of Houston,No Salary Listed,60000
21,"Houston, TX",Research Scientist,UT Health Science Center at Houston,No Salary Listed,60000
22,"Houston, TX 77070",Data Scientist,"Noble Energy, Inc.",No Salary Listed,60000
23,"Deer Park, TX",Food Scientist,SCHWAN'S,No Salary Listed,60000
24,"Houston, TX 77002 (Downtown area)",Sr Staff Data Scientist,General Electric,No Salary Listed,60000
25,"Houston, TX",Scientist I,No Company Listed,No Salary Listed,60000
26,"Houston, TX",Data Scientist,Schlumberger,No Salary Listed,60000
27,"Houston, TX 77002 (Downtown area)",Sr Staff Data Scientist,General Electric,No Salary Listed,60000
28,"Houston, TX 77018 (Northwest area)",Applications Developer 4,Oracle,No Salary Listed,60000
29,"Houston, TX",Scientist I,No Company Listed,No Salary Listed,60000
30,"Houston, TX",MBA Consultant,alliantgroup,No Salary Listed,60000
31,"Houston, TX 77042 (West Houston area)",Senior Oil & Gas Analytics Consultant,Tessella,No Salary Listed,60000
32,"Houston, TX","Research Scientist, Sr.",UT Health Science Center at Houston,No Salary Listed,60000
33,"Houston, TX",Data Scientist,Schlumberger,No Salary Listed,60000
34,"Houston, TX",R&T Scientist III,Lonza,No Salary Listed,60000
35,"Houston, TX 77002 (Downtown area)",Sr Staff Analytics Engineer,General Electric,No Salary Listed,60000
36,"Houston, TX",Statistician,Occidental Petroleum,No Salary Listed,60000
37,"Houston, TX","Senior Analyst, Technical Accounting and Research T7119",Targa Resources,No Salary Listed,60000
38,"Houston, TX 77042 (West Houston area)",No Job Title Listed,No Company Listed,No Salary Listed,60000
39,"Houston, TX 77046 (Montrose area)",Business Development/ Market Research Analyst,No Company Listed,No Salary Listed,60000
40,"Houston, TX 77018 (Northwest area)",Software Developer 4,Oracle,No Salary Listed,60000
41,"Houston, TX",Quantitative Research Scientist - Options Strategy,No Company Listed,No Salary Listed,60000
