,location,title,company,salary
0,"Chicago, IL 60606 (Loop area)",Senior Quantitative Analyst,William Blair & Company,No Salary Listed
1,"Chicago, IL",Senior Quantitative Analyst- Asset Allocation,Huxley Associates,"$185,000 a year"
2,"Chicago, IL",Lead Data Scientist,No Company Listed,"$250,000 a year"
3,"San Francisco, CA",Senior Data Scientist,No Company Listed,"$180,000 a year"
4,"San Francisco, CA",Director of Data Science,No Company Listed,"$230,000 a year"
5,"San Francisco, CA",Lead Data Scientist - Engagement & Growth,No Company Listed,"$220,000 a year"
6,"San Francisco, CA",Head of Data Science,No Company Listed,"$225,000 a year"
7,"Berkeley, CA 94705",Sr Data Scientist/Solution Architect,No Company Listed,"$250,000 a year"
8,"San Francisco, CA",Senior Data Science Manager,No Company Listed,"$185,000 a year"
9,"San Francisco, CA 94105 (Financial District area)",Data Scientist (Java or Python),Workbridge Associates,"$200,000 a year"
10,"San Francisco, CA",Senior Safety Scientist,No Company Listed,"$225,000 a year"
11,"San Mateo, CA",Senior Data Scientist (Contract),Workbridge Associates,$130 an hour
12,"San Francisco, CA 94105 (Financial District area)",Senior Data Scientist,Workbridge Associates,"$200,000 a year"
13,"San Francisco, CA 94105 (Financial District area)",Java Engineer for Machine Learning Company,Workbridge Associates,"$180,000 a year"
14,"San Francisco, CA 94107 (South Of Market area)","Senior Product Manager, Search","Blu Chips, Inc","$180,000 a year"
15,"San Francisco Bay Area, CA",Senior DevOps Engineer,LT,"$190,000 a year"
16,"San Francisco, CA",Lead Computer Vision Scientist,LT,"$200,000 a year"
17,"New York, NY",Model Validation Quantitative Analyst - Equity,No Company Listed,No Salary Listed
18,"New York, NY","VP, Data Scientist - Banking",No Company Listed,"$180,000 a year"
19,"New York, NY",Chief Data Scientist - Consulting,No Company Listed,"$220,000 a year"
20,"New York, NY 10261 (Murray Hill area)",Senior Data Scientist,No Company Listed,No Salary Listed
21,"New York, NY",Senior Data Scientist,No Company Listed,"$180,000 a year"
22,"New York, NY","Director, Data Scientist Modeler",No Company Listed,"$180,000 a year"
23,"New York, NY","Client Solutions, Strategy and Analytics Manager Consultancy",No Company Listed,"$200,000 a year"
24,"New York, NY 10150 (Midtown area)",Skilled Java Specialists - NYC,No Company Listed,$120 an hour
25,"New York, NY",Data Scientist (People Analytics/HR),No Company Listed,"$180,000 - $250,000 a year"
26,"New York, NY",Senior Systematic Quantitative Analyst - Multi-billion Dolla...,No Company Listed,"$180,000 - $220,000 a year"
27,"New York, NY",Quantitative Analyst for Global Quant Fund,No Company Listed,"$150,000 - $300,000 a year"
28,"New York, NY 10005 (Financial District area)",Quantitative Analyst - Regulatory Model Design,Societe Generale Corporate and Investment Banking,No Salary Listed
29,"New York, NY",Data Scientist ( FinTech / Python / R / Machine Learning / B...,No Company Listed,"$200,000 a year"
30,"New York, NY",Data Scientist at Innovative Financial Services Company,No Company Listed,"$150,000 - $250,000 a year"
31,"Philadelphia, PA",Data Scientist,No Company Listed,$120 an hour
32,"Philadelphia, PA",Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...,No Company Listed,"$200,000 - $300,000 a year"
33,"Santa Monica, CA",Computer Vision Data Scientist,No Company Listed,"$200,000 a year"
34,"Los Angeles, CA",Senior Backend Data Engineer,LT,"$190,000 a year"
35,"Los Angeles, CA",Java Engineer,LT,"$190,000 a year"
36,"Los Angeles, CA",Senior DevOps Engineer,LT,"$190,000 a year"
37,"Los Angeles, CA",Lead iOS Developer,LT,"$200,000 a year"
